,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
626,Jewish Child Care Association,Y,Y,Y,Y,Y,2124259397.0,2124253333.0,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 Wall Street,New York,N,10005.0,http://www.jccany.org,"Jewish Child Care Association (JCCA) is a comprehensive child and family services agency. We work with those who need us most, including children who have been neglected or abused, immigrant Jewish families, and those building new lives. Most of our clients come to us because they struggle with poverty or family crises, and because they are working to create an independent future. JCCA helps more than 12,000 children and families every year and is consistently rated at the highest levels for the quality of our programs. In all our work, we are motivated by tikkun olam, the value within Jewish tradition that calls upon all of us to repair the world, and by our belief that every child deserves to grow up hopeful.","{'latitude': '40.70438', 'longitude': '-74.006427'}",MANHATTAN,40.70438,-74.006427,1.0,1.0,7.0,1000871.0,1000370001.0,Battery Park City-Lower Manhattan                                          ,11726.0,56.0,4.0,32.0,1.0,Y,,"Westchester County, Long Island"
627,Chinatown Manpower Project,Y,N,Y,Y,N,2125711686.0,2125711690.0,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,"70 Mulberry Street,  3rd Fl",New York,N,10013.0,http://www.cmpny.org,"Our mission is to promote economic self-sufficiency by providing vocational training, employment services, educational programs, English as a Second Language and economic development programs to immigrants, refugees, and disadvantaged and low-income individuals in New York City. We offer job placement services, job training, job preparation and counseling, English as a Second Language, computer and bookeeping training, and small business training, counseling and classes.","{'latitude': '40.716092', 'longitude': '-73.999203'}",MANHATTAN,40.716092,-73.999203,3.0,1.0,29.0,1066494.0,1002000001.0,Chinatown                                                                  ,12076.0,70.0,4.0,32.0,2.0,N,,
628,Single Mothers by Choice (SMC),Y,Y,Y,Y,Y,2129880993.0,2129880993.0,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,Gracie Square Station,New York,N,10028.0,http://www.singlemothersbychoice.org,Single Mothers by Choice (SMC) is a National organiation which provides support and information for single women who are considering or have chosen motherhood.,,,,,,,,,,,,,,,,Y,P.O. Box 1642,"Boston, Chicago, Los Angeles, among others"
629,"Inwood Community Services, Inc.",N,N,Y,N,N,2125679476.0,2129420043.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,651 Academy Street,New York,N,10034.0,http://inwoodcs.org,"Not for profit community based organizationw with youth programs, adult literacy, prevention, and two licensed clinics: mental health and chemical dependence treatment.","{'latitude': '40.866001', 'longitude': '-73.924777'}",MANHATTAN,40.866001,-73.924777,12.0,10.0,291.0,1081917.0,1022340001.0,Marble Hill-Inwood                                                         ,13092.0,47.0,4.0,39.0,22.0,N,,
630,The New York Center for Children,Y,Y,Y,Y,Y,2125176738.0,2125173012.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,333 East 70th Street,New York,N,10021.0,http://www.newyorkcenterforchildren.org,"The New York Center for Children is a child-friendly free clinic offering medical and psychological assessment and treatment to victims of child abuse.  By cooperating with social services and law renforcement, The New York Center for children helps investigations and prosecutions proceed more efficiently with less trauma to children.  The New York Center for Children also trains professionals who work with children to recognize and respond to the signs and symptoms of abuse and teaches children, parents and the public how to prevent abuse.","{'latitude': '40.76687', 'longitude': '-73.95782'}",MANHATTAN,40.76687,-73.95782,8.0,5.0,126.0,1044839.0,1014450020.0,Lenox Hill-Roosevelt Island                                                ,12083.0,23.0,4.0,1.0,11.0,N,,
631,Common Ground,Y,N,Y,Y,N,2123899311.0,2123899300.0,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Published,505 Eighth Avenue,New York,N,10018.0,http://www.commonground.org,"Established in 1990, Common Ground's mission is to end homelessness through innovative programs that transform people, buildings, and entire communities.  We seek out those cut off from effective help, and we connect them to housing and to communities. We expand the supply of affordable, supportive housing.  We improve the well-being of our tenants and clients by providing access to stable housing, effective health care and behavioral services, and programs that support a healthier, economically independent lifestyle.  We continue to apply lessons learned, to adapt our techniques, and to share the best approaches for accomplishing these goals.

To date, Common Ground has created more than 2,000 units of affordable permanent and transitional housing in New York City, Connecticut, and upstate New York; we currently manage more than 1,600 units.  We are developing eight properties that comprise 1,375 units toward our goal of creating 4,000 additional units of housing for the homeless by 2015.","{'latitude': '40.753047', 'longitude': '-73.99285'}",MANHATTAN,40.753047,-73.99285,4.0,3.0,111.0,1013575.0,1007590037.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12080.0,12.0,4.0,10.0,8.0,Y,15th Floor,"Los Angeles, CA; New Orleans, LA"
632,Liberty Center for Immigrants,N,N,N,Y,N,7188475843.0,7188473757.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,125-09 Jamaica Avenue,Richmond Hill,Y,11419.0,,"Info and assistance on: relative petitions, adjustment of status, citizenship applications, green card replacements, travel documents, employment authorization, waivers, visa extensions, family unity (for amnesty family), counseling on all immigration issues, taxes and social security (Spanish language too)","{'latitude': '40.701012', 'longitude': '-73.825481'}",QUEENS   ,40.701012,-73.825481,9.0,29.0,14201.0,4193892.0,4092790089.0,Richmond Hill                                                              ,24014.0,46.0,3.0,28.0,60.0,N,,
633,National Council of Jewish Women New York Section,N,N,Y,N,N,2126875032.0,2126875030.0,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,820 Second Avenue,New York,N,10017.0,http://www.njcwny.org,"NCJW NY Section is a grassroots organization of volunteers and advocates who turn progressive ideals into action.  NCJW NY strives for social justice by improving the quality of life for women,children and families and by safeguarding individual rights and freedoms.  Programs include:  Pregnancy Loss Support Group, Hunger Program (including 2 Soup Kitchens and a Food Bank), a Senior Center, Scholarships for Disabled College Students, Advocacy in Action (including programs on Domestic Violence, Teen Dating Violence, Human Trafficking), Children's Literacy and Reading Tutors Programs.","{'latitude': '40.750971', 'longitude': '-73.971361'}",MANHATTAN,40.750971,-73.971361,6.0,4.0,88.0,1038673.0,1013367502.0,Turtle Bay-East Midtown                                                    ,12079.0,71.0,4.0,51.0,9.0,N,2nd Floor,
634,"My Life My Soul, The Unspoken Journey of Life After Domestic Abuse",Y,Y,Y,Y,Y,8774501670.0,2128315506.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,325 East 101 Street,New York,N,10029.0,http://www.mylifemysoul.com,"My Life My My Soul is a free, confidential, peer-led support group program that is a part of the East Harlem Churches and Community Urban Center in Manhattan and is also a radio show centered around understanding domestic abuse and the unspoken journey of healing a woman goes through after leaving an abusive relationship.  

Our goal is to help women become knowledgeable through open discussions on how domestic abuse affects all of our lives as survivors; to explore issues not openly talked about that a woman faces after leaving her abuser; to eliminate isolation; to exchange valuable information and provide emotional support; to explore individual self-image and reinforce self-confidence.

I am a former Ft. Bragg army wife and a 19-year survivor of domestic violence.  After the loss of my  infant twin daughter to a domestic violence assault and beginning my journey to healing, my mission has been to bring this social disease out of the closet through public speaking and various community awareness projects.","{'latitude': '40.787181', 'longitude': '-73.944132'}",MANHATTAN,40.787181,-73.944132,11.0,8.0,164.0,1052654.0,1016737501.0,East Harlem South                                                          ,12426.0,7.0,4.0,35.0,14.0,N,,
635,Elmcor Youth & Adult Activities,N,N,N,Y,N,7184573932.0,7186510096.0,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,33-16 108th Street,Corona,Y,11368.0,,"Drug rehabliitation Center, residential, outpatient and prevention services, Youth and Recreation services after school, in-school and  sports, comupter lab and senior Citizen Center","{'latitude': '40.757429', 'longitude': '-73.860938'}",QUEENS   ,40.757429,-73.860938,3.0,21.0,381.0,4042761.0,4017220012.0,North Corona                                                               ,14510.0,65.0,3.0,21.0,73.0,N,,
636,Queens Jewish Community Council (QJCC),N,N,N,Y,N,7185448011.0,7185449033.0,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,119-45 Union Turnpike,Forest Hills,N,11375.0,http://www.qjcc.org,Services include: benefits counseling; job placement;security devices; emergency financial assistance; food distribution; child health class.,"{'latitude': '40.713909', 'longitude': '-73.832351'}",QUEENS   ,40.713909,-73.832351,6.0,29.0,76902.0,4312087.0,4033477501.0,Forest Hills                                                               ,14786.0,40.0,3.0,28.0,70.0,,,
637,Day Care Council of New York Inc.,Y,Y,Y,Y,Y,2122067836.0,2122067818.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,12 West 21st Street,New York,N,10010.0,http://www.dccnhinc.org,"The Day Care Council of New York, Inc. is a non-profit organization providing child care information, referrals and assistance to families, child care providers, and community partners.","{'latitude': '40.740558', 'longitude': '-73.991238'}",MANHATTAN,40.740558,-73.991238,5.0,3.0,54.0,1015502.0,1008220049.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12073.0,11.0,4.0,10.0,7.0,N,3rd Floor,
638,Builders for Family and Youth / Catholic Charities,N,N,N,Y,N,7187797775.0,7187791234.0,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,61-20 Woodside Ave.,Woodside,N,11377.0,,"An out-patient mental health clinic for adults and children (over age 6).  Have a MICA (mentally illness and chemical abuse) specialist, forensic program with anger management groups.  AA (Alcoholics Anonymous) & NA (Narcotic anonymous) meeting, a mobile outreach team, food [pantry, and Meals-on-Wheels.  Have a psychiatrist on staff.","{'latitude': '40.744648', 'longitude': '-73.902723'}",QUEENS   ,40.744648,-73.902723,2.0,26.0,249.0,4031453.0,4013367501.0,Woodside                                                                   ,14787.0,53.0,3.0,33.0,66.0,,,
639,VISIONS at Selis Manor,N,N,Y,N,N,6464864343.0,6464864444.0,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Published,135 West 23 Street,New York,N,10011.0,http://www.visionsvcb.org,,"{'latitude': '40.743386', 'longitude': '-73.993916'}",MANHATTAN,40.743386,-73.993916,4.0,3.0,91.0,1014949.0,1007990021.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12074.0,12.0,4.0,10.0,7.0,N,#93,
640,Hour Children,N,N,N,Y,N,7184334728.0,7184334724.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,36-11A 12 Street,Long Island City,N,11106.0,http://www.hourchildren.org,"Hour Children is committed to the compassionate and loving care of children of incarcerated women. Our outreach includes support and empowerment for mothers upon reunification with their families. All persons are encouraged to live and interact with dignity and respect. 

The name of the organization was chosen by our dear friend, Jean Roulet, because the children's lives are dictated by the ""hour"" of the mother's arrest, the ""hour"" of the visit and the ""hour"" of her return.","{'latitude': '40.760503', 'longitude': '-73.93932'}",QUEENS   ,40.760503,-73.93932,1.0,26.0,43.0,,,Queensbridge-Ravenswood-Long Island City                                   ,16863.0,39.0,3.0,33.0,72.0,N,,
641,"Brooklyn AIDS Task Force,  Inc",Y,N,N,N,N,7183880896.0,7183880028.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"260 Broadway, 4th floor",Brooklyn,N,11211.0,http://www.batf.net,"BATF provides comprehensive HIV/AIDS related services to underserved communities, regardless of socioeconomic, racial/ethnic background and sexual orientation and gender identity.   We offer HIV/AIDS education, prevention and treatment, including HIV primary care and counseling and testing.   In addition, we offer substance treatment, education and adherence services; nutritional services, housing services, mental health screenings, case management, youth services, risk reduction and harm reduction services; adolescent peer education, and several behavioral modification programs servicing ex-offenders and /or recently incarcerated individuals with long histories of substance abuse.  

BATF programs and service sites are located in neighborhoods that are heavily impacted with HIV/AIDS and drug use.  Our program sites are located in Park Slope/Prospect Heights, Downtown Brooklyn/Red Hook and Williamsburg/Bushwick.","{'latitude': '40.708935', 'longitude': '-73.959386'}",BROOKLYN ,40.708935,-73.959386,1.0,33.0,525.0,3059650.0,3021400021.0,North Side-South Side                                                      ,17613.0,36.0,2.0,38.0,56.0,N,,
642,Safe Horizon Brooklyn Community Programs,Y,N,N,N,N,,7188346688.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,"189 Montague Street, 6th floor",Brooklyn,N,11201.0,http://www.safehorizon.org,"The Brooklyn Community Program provides the following services to survivors of domestic violence, sexual assault and other crimes: individual and group counseling, information and referrals to other allied health agencies, court accompaniment, advocacy on the client’s behalf with the criminal justice system, and Crime Victims Board assistance. In addition, survivor will be met at any of the emergency departments during work hours, if requested and available, if the hospital social worker is not able to meet with the survivor.  All services are free and confidential. Adolescents can receive counseling services from the ages of 13+ without parental consent.","{'latitude': '40.694079', 'longitude': '-73.991688'}",BROOKLYN ,40.694079,-73.991688,2.0,33.0,9.0,3335931.0,3002440011.0,Brooklyn Heights-Cobble Hill                                               ,16865.0,68.0,2.0,38.0,54.0,N,,
